NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
HUJ01101	łapət ńar xɔpte -ł -ən	семь белый олень-бык 3SG LOC	i	sbj	s	1	3s	own	loc	nul	nul	0	nu	anm	iob	1	1
HUJ01102	taś	стадо	i	sbj	s	0	n	n	psp	nul	nul	0	s	anm	pob	1	1
HUJ01201	sǫx šăš nԑr -əŋ waś keł -əł	осетр спина мозг ATTR тонкий веревка 3SG	p	obj	s	1	3s	own	nul	nul	nul	0	s	non	obj	1	1
HUJ01202	ǫxł -əł	нарта 3SG	i	sbj	s	1	3s	own	psp	nul	nul	0	s	non	iob	1	1
HUJ01301	owəs	север	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ01302	owəs jorən	север ненец	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
HUJ01303	aj wǫrt -leŋke -ł	маленький Ворт DIM 3SG	p	sbj	s	1	3s	dis	nul	dim	nul	0	s	hum	sbj	1	1
HUJ01401	in xǫ -j -əł	этот мужчина STEM 3SG	i	sbj	s	1	3s	dis	nul	nul	in	0	s	hum	sbj	1	1
HUJ01501	jux -łi ńǫrəm	дерево CAR болото	p	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
HUJ01502	pǫm -łi ńǫrəm	трава CAR болото	p	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
HUJ01503	jiŋk wɔj pɔrxa -j -əŋ pox	вода зверь мужская верхняя одежда STEM мальчик	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
HUJ01504	łałʼ -a	война DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
HUJ01505	mɔj -a	гость DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
HUJ01506	łałʼ -a moj mɔj -a 	война DAT или гость DAT 	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
HUJ01601	ma kԑm -ԑm	я образ 1SG	i	sbj	s	1	1s	oth	nul	nul	nul	1	s	non	atr	0	0
HUJ01602	ma kԑm -ԑm ot	я образ 1SG вещь	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	iob	0	0
HUJ01603	łałʼ -əŋ xor	война ATTR образ	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	iob	0	0
HUJ01604	xǫ	мужчина	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
HUJ01605	mɔj -əŋ xor	гость ATTR образ	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	iob	0	0
HUJ01606	xǫ	мужчина	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
HUJ01701	owəs	север	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ01702	in owəs jorən	этот север ненец	i	sbj	s	0	n	n	nul	nul	in	0	s	hum	sbj	1	1
HUJ01703	aj wǫrt -əł	маленький Ворт 3SG	i	sbj	s	1	3s	dis	nul	nul	in	0	s	hum	sbj	1	1
HUJ01801	muŋ wǫn taś -ew	мы большой стадо 1PL	p	sbj	s	1	1p	own	nul	nul	nul	1	s	anm	sbj	1	1
HUJ01901	jiŋk wɔj	вода зверь	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	atr	0	0
HUJ01902	jiŋk wɔj pɔrxa -j -əŋ pox	вода зверь мужская верхняя одежда STEM ATTR мальчик	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
HUJ01903	łapət puš tăxti	семь раз шкура оленя, используемая для постели	p	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
HUJ01904	ɔłŋ -əł	конец 3SG	p	sbj	s	1	3s	prt	nul	nul	nul	0	s	non	atr	1	1
HUJ01905	ɔłŋ -əł nek -əŋ waś keł	конец 3SG узел ATTR тонкий веревка	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	1	1
HUJ02001	taś	стадо	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
HUJ02101	taś	стадо	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	1	1
HUJ02201	tińśaŋ -əł	аркан 3SG	p	obj	s	1	3s	dis	nul	nul	nul	0	s	non	obj	1	1
HUJ02401	taś	стадо	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	1	1
HUJ02501	mărəŋ sij -ən	грохочущий звук LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	0
HUJ02502	tińśaŋ -əł	аркан 3SG	p	sbj	s	1	3s	dis	nul	nul	nul	0	s	non	sbj	1	1
HUJ02601	tińśaŋ -əł	аркан 3SG	p	obj	s	1	3s	dis	nul	nul	nul	0	s	non	obj	1	1
HUJ02701	owəs	север	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ02702	owəs jorən	север ненец	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	gen	1	1
HUJ02703	owəs jorən wǫrt -en	север ненец Ворт 2SG	p	sbj	s	1	2s	dis	nul	nul	nul	0	s	hum	gen	1	1
HUJ02704	owəs jorən wǫrt -en amp	север ненец Ворт 2SG собака	p	sbj	s	0	n	n	nul	nul	nul	1	s	anm	sbj	1	1
HUJ02801	owəs	север	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ02802	in owəs jorən	этот север ненец	p	sbj	s	0	n	n	nul	nul	in	0	s	hum	sbj	1	1
HUJ02803	in owəs jorən aj wǫrt -leŋke -ł	этот север ненец маленький Ворт DIM 3SG	p	sbj	s	1	3s	dis	nul	dim	in	0	s	hum	sbj	1	1
HUJ02901	ɔłəŋ	край	p	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	0	0
HUJ02902	wǫn ɔłəŋ	большой край	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0
